Phase,Arabinose,IPTG,eno,lhgO,yibQ,ycaC,dksA,ligB,glnL,tyrR
log phase,off,off,196.4947078,5.665120791,0.335309621,33.39904873,108.0834288,0.20188973,1.992697179,9.486667369
log phase,off,off,212.50062,4.057878262,0.306976352,52.34445408,80.63585641,0.168958432,2.255160606,9.14998663
log phase,off,off,181.249946,4.506380214,0.488268143,33.53179526,115.9508348,0.215383404,1.744000804,9.293686969
log phase,off,off,172.8918628,5.056691072,0.406929266,36.2798714,107.5079734,0.163623117,1.787057983,8.551303008
log phase,on,off,195.6432846,3.685625326,0.575048181,40.32980119,105.8962995,0.182229568,1.562670612,11.07831688
log phase,on,off,223.6536638,4.477149496,0.519231597,35.98320555,76.10444114,0.169653576,1.470268001,11.27319646
log phase,on,off,216.2528647,4.087374433,0.594073722,31.01219696,98.25397155,0.178196556,1.61541229,10.71931225
log phase,on,off,196.3564501,3.351926147,0.619283693,48.72996496,93.83932852,0.239702372,1.819935751,10.39138989
log phase,off,on,180.2958227,2.844717851,0.273933613,72.86467281,99.48115405,0.177561894,1.58241131,8.697658673
log phase,off,on,215.648239,4.197987883,0.441795181,38.11596415,87.5275876,0.183275914,1.725870007,10.6810145
log phase,off,on,208.8802391,4.506062939,0.472734282,41.79449276,92.69857189,0.138678353,1.833823107,9.464145571
log phase,off,on,183.1525284,3.440477667,0.303787757,68.74341581,99.39408708,0.285408231,1.707338249,8.594224474
log phase,on,on,194.7468366,2.420651307,0.457114064,57.77832112,104.4502653,0.325389307,1.502485896,10.24739866
log phase,on,on,215.877581,3.741642648,0.524228706,27.70876421,87.09154241,0.143012094,1.417045545,11.91952936
log phase,on,on,199.9482985,2.129070009,0.715721986,24.77717957,83.85631186,0.190288331,1.996396435,8.469903918
log phase,on,on,178.1537806,2.444788562,0.521242723,59.77581615,98.43257309,0.327054257,1.610788939,10.09872282
stationary phase,off,off,132.4482497,22.17900797,0.756158086,19.82836925,44.87579098,0.131033961,1.793995313,3.36086813
stationary phase,off,off,116.3332217,21.15096779,0.916686411,18.55478562,55.27136594,0.167323865,1.525366189,2.385524793
stationary phase,off,off,140.8472564,20.54956333,0.769880605,23.96821278,42.27589991,0.182978159,1.935699808,2.700074133
stationary phase,off,off,133.8594293,20.47980832,0.951555242,20.94332111,44.07203225,0.239726335,1.587737889,3.060774318
stationary phase,on,off,75.62044293,20.15449694,0.292620052,5.661478867,44.41104331,0.182087344,1.191761667,4.007869974
stationary phase,on,off,104.6150325,4.653822596,0.694197532,5.246587066,39.8483376,0.155863367,1.910836732,3.668976771
stationary phase,on,off,84.48016285,17.38623006,0.316160314,8.688493489,42.63257573,0.189589256,1.07471345,4.855172662
stationary phase,off,on,120.7359643,20.91422116,0.665760481,11.23008516,55.58892155,0.122294442,1.568164156,3.414201347
stationary phase,off,on,105.6560825,21.55441571,0.59118521,15.05662973,59.40690399,0.19739587,1.740185593,3.545876933
stationary phase,off,on,136.3670344,20.95032096,0.66252884,18.77763824,46.21429243,0.184757498,1.373012149,3.226426656
stationary phase,off,on,125.3771441,20.34563701,0.540744542,15.99631413,45.10679398,0.209510548,1.660420977,2.998093225
stationary phase,on,on,80.8266198,6.316400431,0.559907099,4.963165416,42.99342042,0.268948714,2.460784682,4.409234957
stationary phase,on,on,79.04636776,4.64645272,0.428513699,4.035993896,45.95416449,0.22220772,1.970792009,3.831915924
stationary phase,on,on,90.06614504,4.296529792,0.253831299,3.708285009,37.47351548,0.247346008,1.885603937,3.878252535
stationary phase,on,on,81.44315795,4.711619796,0.386385881,4.155254862,38.56111726,0.220398364,2.043902457,4.032101691
log phase,off,off,173.908824,5.114915267,0.453075371,66.00859588,88.56064344,0.377718121,1.561367434,8.375317251
log phase,off,off,201.4895833,4.527043747,0.471172114,53.12256295,76.53743191,0.184880369,1.885031437,9.091570072
log phase,off,off,193.5222596,5.165177384,0.286820157,78.28660617,77.82067823,0.119711035,1.784481087,7.473601808
log phase,off,off,178.3205648,4.068783345,0.369509976,61.00745249,98.53599359,0.163933917,1.745494744,7.655390423
log phase,on,off,191.0951966,3.019717076,0.375057981,51.84670268,99.37626497,0.244499218,1.371640615,10.82435262
log phase,on,off,210.9559223,3.823678369,0.479298908,45.54903234,83.68237866,0.267183316,1.608452438,11.31531981
log phase,on,off,192.6522401,3.059322336,0.403731286,66.46176778,83.7636173,0.253321591,1.697978436,10.10427872
log phase,on,off,202.3991419,3.738778116,0.368035971,29.06050263,110.24476,0.299901988,0.865260078,10.50713033
log phase,off,on,196.8866841,3.644185156,0.469966561,63.41175612,96.7141713,0.335092022,1.342761604,10.09422342
log phase,off,on,189.235604,3.695187136,0.269176875,61.96125607,79.58513216,0.217204591,1.566665689,9.098418521
log phase,off,on,224.6704303,4.882302024,0.352025072,45.24272105,87.33574408,0.203189075,1.919614271,10.29528208
log phase,off,on,187.7146601,3.149604782,0.419837024,62.27247724,101.9762035,0.169631121,1.679348096,9.24621617
log phase,on,on,203.8671417,2.781694508,0.541052,45.87594159,79.30268559,0.23371334,1.474422982,10.62523032
log phase,on,on,233.5348139,3.429926285,0.543306836,43.49676671,79.99377597,0.172413407,1.591659463,10.63329519
log phase,on,on,198.7090487,3.292049973,0.555533433,41.44202622,106.298561,0.211254544,1.580183987,10.31807881
stationary phase,off,off,121.9119151,20.74220608,0.98805779,17.61985408,53.31841261,0.165764125,1.72702538,2.333887935
stationary phase,off,off,133.3455106,22.96712819,0.775409933,19.25009485,46.79111711,0.17601797,1.519170481,2.783175491
stationary phase,off,off,138.3928222,21.87443176,1.021665583,17.50030042,44.72027422,0.206397088,1.430331817,2.968263174
stationary phase,on,off,77.05698157,21.09485449,0.361125708,6.336161401,40.70498028,0.167018683,0.883433393,5.736084446
stationary phase,on,off,68.83846904,20.3727815,0.387232648,8.192690743,51.92746583,0.207494618,0.9548386,4.463608502
stationary phase,on,off,104.0514686,6.193170714,0.593366073,4.883204045,38.41264578,0.13750016,2.66167067,3.849953022
stationary phase,on,off,72.38353208,21.36181302,0.41239565,6.594822514,43.50653523,0.215631712,1.31966608,4.393181502
stationary phase,off,on,108.8503712,23.31186176,1.113691777,14.44208251,46.01560349,0.165720237,1.779693294,3.279842067
stationary phase,off,on,121.6786301,19.11780978,0.693763475,16.63626458,53.69686337,0.151308381,1.669696296,3.163142233
stationary phase,off,on,134.7472556,22.60723146,0.757645117,16.82044661,43.49209228,0.16697413,1.75143936,3.154397956
stationary phase,off,on,111.6885537,22.11559338,0.926700278,15.41742563,44.38909416,0.168933729,1.930375365,3.23558876
stationary phase,on,on,78.17494663,3.783574282,0.363298711,4.079143421,39.23626078,0.234859773,2.01509685,3.845029158
stationary phase,on,on,82.83875586,4.494685044,0.371984043,4.050097392,45.6604974,0.165031542,1.842206687,3.92408588
stationary phase,on,on,97.93214638,4.394334058,0.345626814,5.232146621,41.21702452,0.174890229,1.834848342,3.880113252
stationary phase,on,on,81.09682806,4.540049292,0.432935204,4.537212369,39.78918102,0.217146184,2.347660457,4.015092086
log phase,off,off,177.9718803,4.918273171,0.296800412,36.051546,118.1845849,0.161236112,1.757381484,9.221325366
log phase,off,off,173.2159947,4.92869678,0.290637371,37.20652782,105.0883545,0.179597662,1.823172839,8.474096096
log phase,off,off,193.0554004,4.328337107,0.307608635,50.9495404,63.04717803,0.167664679,2.193689009,9.222141458
log phase,off,off,202.7283213,3.956820253,0.341557757,62.05262685,84.03447722,0.203551594,1.58471147,8.232773766
log phase,on,off,196.6742907,3.620208211,0.425374465,44.28779117,125.3735265,0.272967571,1.507040961,11.28814728
log phase,on,off,192.6593178,3.791719382,0.470627142,44.69381583,98.38584245,0.154358991,1.506006853,10.29153516
log phase,on,off,220.0918217,4.336640337,0.449188154,35.39194644,73.05593139,0.211484336,1.597113437,11.59882549
log phase,on,off,205.5549418,3.252692684,0.572538669,49.65761786,86.00487995,0.198510489,1.662767765,10.06430986
log phase,off,on,183.992798,3.057215792,0.334910811,75.49292082,91.18975078,0.237734274,1.585457149,9.215911513
log phase,off,on,179.0852262,3.114546627,0.414815247,67.87885855,99.2063411,0.242530126,1.687705461,8.593293281
log phase,off,on,220.0951347,4.406672842,0.498981844,37.40235869,67.55095176,0.23512436,1.537235993,11.05509429
log phase,off,on,205.378288,3.469153411,0.431547706,59.4886437,82.87513037,0.167712807,1.64760443,8.898514811
log phase,on,on,175.5500902,2.253681543,0.614484955,63.77453935,85.4956949,0.323887465,1.52187811,10.64384914
log phase,on,on,180.1892324,2.368172845,0.456256782,58.35041552,94.55988521,0.310858255,1.59907139,10.02857537
log phase,on,on,211.2120374,3.188089635,0.65184535,37.75147078,73.0992301,0.229144326,1.746339171,11.61300449
log phase,on,on,229.1806932,3.475585173,0.794996497,37.75397996,90.43403019,0.170365899,1.361345226,11.132036
stationary phase,off,off,127.9890192,20.38154711,0.827333055,21.29596731,46.86342281,0.210975568,1.459443318,2.751085973
