lab,trial_type,subid_unique,method,session_error,looking_time_mean,looking_time_var
babylabbrookes,ADS,babylabbrookes:mb01,singlescreen,0,2.282254826520795,2.911877629614877
babylabbrookes,ADS,babylabbrookes:mb02,singlescreen,0,1.5922917535991299,0.5777844279399471
babylabbrookes,ADS,babylabbrookes:mb03,singlescreen,0,1.5365983662571427,2.2092360781336886
babylabbrookes,ADS,babylabbrookes:mb04,singlescreen,0,1.9376619401988175,2.4185881326987566
babylabbrookes,ADS,babylabbrookes:mb07,singlescreen,0,2.2759844111968666,3.379003139591075
babylabbrookes,ADS,babylabbrookes:mb10,singlescreen,0,2.089546563538031,2.8545100556739222
babylabbrookes,ADS,babylabbrookes:mb100,singlescreen,0,1.6193882432872684,1.0728055699776644
babylabbrookes,ADS,babylabbrookes:mb101,singlescreen,0,1.811071780260428,1.6224001668203902
babylabbrookes,ADS,babylabbrookes:mb102,singlescreen,1,2.3843186780207155,3.721450120665881
babylabbrookes,ADS,babylabbrookes:mb103,singlescreen,0,2.0309732007197594,3.7499268974531206
babylabbrookes,ADS,babylabbrookes:mb104,singlescreen,1,1.843719208158766,2.3007230938824703
babylabbrookes,ADS,babylabbrookes:mb105,singlescreen,0,2.0289209749771224,3.145617097388733
babylabbrookes,ADS,babylabbrookes:mb107,singlescreen,0,1.9858174396471682,2.40816454468363
babylabbrookes,ADS,babylabbrookes:mb108,singlescreen,0,2.2848156473824686,3.671402245265605
babylabbrookes,ADS,babylabbrookes:mb12,singlescreen,1,2.67000213346468,
babylabbrookes,ADS,babylabbrookes:mb13,singlescreen,1,1.7376112261570833,2.285973415626264
babylabbrookes,ADS,babylabbrookes:mb14,singlescreen,1,1.6921693100315651,2.0643584962227224
babylabbrookes,ADS,babylabbrookes:mb15,singlescreen,0,2.3767644911682972,3.5100073696151526
babylabbrookes,ADS,babylabbrookes:mb16,singlescreen,0,2.4379897300002487,3.3916375459843926
babylabbrookes,ADS,babylabbrookes:mb18,singlescreen,0,1.9579798731426437,3.0718318326098566
babylabbrookes,ADS,babylabbrookes:mb20,singlescreen,0,1.7256641814022327,2.26992888624403
babylabbrookes,ADS,babylabbrookes:mb23,singlescreen,0,2.219746814685041,3.4247855518278487
babylabbrookes,ADS,babylabbrookes:mb28,singlescreen,0,1.6201305419728436,1.024472905764665
babylabbrookes,ADS,babylabbrookes:mb30,singlescreen,1,1.7600107709134747,1.8403897566723062
babylabbrookes,ADS,babylabbrookes:mb31,singlescreen,0,2.4865719291070616,3.3511173860176324
babylabbrookes,ADS,babylabbrookes:mb35,singlescreen,0,2.1385944928848146,2.3095571601218268
babylabbrookes,ADS,babylabbrookes:mb36,singlescreen,0,1.3580877692297098,1.5852063274827248
babylabbrookes,ADS,babylabbrookes:mb37,singlescreen,0,1.995890081360334,3.5196899538977027
babylabbrookes,ADS,babylabbrookes:mb38,singlescreen,0,1.9926574115949451,1.287925221751393
babylabbrookes,ADS,babylabbrookes:mb41,singlescreen,0,1.9957202011254909,1.6705692965811147
babylabbrookes,ADS,babylabbrookes:mb42,singlescreen,0,1.918575656915171,2.9236199050120066
babylabbrookes,ADS,babylabbrookes:mb45,singlescreen,1,2.34164553689464,3.325449484369377
babylabbrookes,ADS,babylabbrookes:mb46,singlescreen,0,1.5981241525338268,2.2533916600226798
babylabbrookes,ADS,babylabbrookes:mb48,singlescreen,0,2.2641041061757643,3.4227070012643206
babylabbrookes,ADS,babylabbrookes:mb49,singlescreen,0,1.0868770324496888,-0.5415303203890374
babylabbrookes,ADS,babylabbrookes:mb50,singlescreen,0,1.6238337927178328,2.124506237486722
babylabbrookes,ADS,babylabbrookes:mb53,singlescreen,1,1.4833076352898882,2.7368759561820104
babylabbrookes,ADS,babylabbrookes:mb54,singlescreen,0,1.6409365794934714,0.6432964541931923
babylabbrookes,ADS,babylabbrookes:mb55,singlescreen,1,2.183519985835106,4.009671509825434
babylabbrookes,ADS,babylabbrookes:mb60,singlescreen,0,1.5206066987274847,1.8855446773300621
babylabbrookes,ADS,babylabbrookes:mb63,singlescreen,0,1.4798985410791152,1.5549017717144726
babylabbrookes,ADS,babylabbrookes:mb64,singlescreen,0,1.8917933233801563,2.5929331175639896
babylabbrookes,ADS,babylabbrookes:mb65,singlescreen,0,2.1760293141059486,3.6182902358012847
babylabbrookes,ADS,babylabbrookes:mb66,singlescreen,1,1.000631880307906,-0.8442801958978825
babylabbrookes,ADS,babylabbrookes:mb74,singlescreen,0,1.2419908715134569,0.4478264885941982
babylabbrookes,ADS,babylabbrookes:mb75,singlescreen,0,1.3535774523052755,1.313811510048974
babylabbrookes,ADS,babylabbrookes:mb77,singlescreen,0,1.8972449770740323,2.666622368337116
babylabbrookes,ADS,babylabbrookes:mb78,singlescreen,0,2.0788163462859175,3.1846167708725344
babylabbrookes,ADS,babylabbrookes:mb79,singlescreen,0,1.5882142759824736,0.975863371980383
babylabbrookes,ADS,babylabbrookes:mb80,singlescreen,0,1.7546199222785983,1.9371100620302446
babylabbrookes,ADS,babylabbrookes:mb81,singlescreen,0,1.5869366470875867,2.157610310560393
babylabbrookes,ADS,babylabbrookes:mb84,singlescreen,1,1.5605102388106766,1.481360598835101
babylabbrookes,ADS,babylabbrookes:mb88,singlescreen,0,1.604425370610556,2.389687656302267
babylabbrookes,ADS,babylabbrookes:mb90,singlescreen,0,1.923701057115794,1.8640311262847202
babylabbrookes,ADS,babylabbrookes:mb92,singlescreen,0,1.6431144387934844,2.0337320180857477
babylabbrookes,ADS,babylabbrookes:mb93,singlescreen,0,2.680593354869171,3.0193594232699454
babylabbrookes,ADS,babylabbrookes:mb94,singlescreen,0,1.9834123534508938,3.2078446329522547
babylabbrookes,ADS,babylabbrookes:mb95,singlescreen,1,1.839358448027334,2.6608183221754316
babylabbrookes,ADS,babylabbrookes:mb97,singlescreen,1,,
babylabbrookes,ADS,babylabbrookes:mb99,singlescreen,0,1.7038385878555846,2.3520688940927714
babylabbrookes,IDS,babylabbrookes:mb01,singlescreen,0,2.0603542834461823,3.0783682367111656
babylabbrookes,IDS,babylabbrookes:mb02,singlescreen,0,1.728109442151599,3.290392442360764
