lab,trial_type,trial_num,lang1,age_days,subid_unique,method,trial_error,session_error,looking_time,total_trial_time
purdueinfantspeech,IDS,4.0,English,314.0,purdueinfantspeech:4254,hpp,noerror,0.0,2.6803363625346943,2.8808824318750488
babylabshimane,TRAIN,-2.0,Japanese,133.0,babylabshimane:109,eyetracking,noerror,0.0,2.39698576841553,2.8903717578961645
kyotobabylab,ADS,10.0,Japanese,366.0,kyotobabylab:kbl020,eyetracking,noerror,0.0,2.127040520479115,3.044522437723423
langlabucla,IDS,4.0,English,166.0,langlabucla:mb302,hpp,noerror,0.0,1.601405740736836,1.9429056400350146
infantllmadison,IDS,7.0,English,297.0,infantllmadison:mb011,hpp,noerror,0.0,2.891315756633563,2.891315756633563
socialcogumiami,IDS,11.0,English,94.0,socialcogumiami:1133,eyetracking,noerror,0.0,1.8389610707123492,2.8903717578961645
babylablangessex,ADS,11.0,English,259.0,babylablangessex:mb6917,eyetracking,noerror,0.0,-1.7037485919053417,1.4348464017020561
babylablangessex,ADS,16.0,English,339.0,babylablangessex:mb91204,eyetracking,noerror,0.0,-0.4246479275249383,1.5357913722658016
infantllmadison,ADS,3.0,English,440.0,infantllmadison:mb069,hpp,noerror,0.0,1.2184672504763885,1.6852872247175383
minddevlabbicocca,ADS,5.0,Italian,117.0,minddevlabbicocca:mb13,singlescreen,noerror,0.0,9.085910293598007,9.290167671835738
bchdosu,ADS,8.0,English,397.0,bchdosu:mb0012,singlescreen,noerror,0.0,1.6174060820832772,1.9517502055369962
escompicbsleipzig,IDS,2.0,German,141.0,escompicbsleipzig:mb18,eyetracking,noerror,0.0,2.5733752977756086,2.8903717578961645
ethosrennes,IDS,2.0,french,267.0,ethosrennes:nw860,eyetracking,noerror,0.0,1.5810384379124025,2.6925980965432883
bllumanitoba,TRAIN,-2.0,English,301.0,bllumanitoba:1051,hpp,noerror,0.0,2.8146299731647657,2.9135998840153716
langlabucla,TRAIN,-2.0,English,447.0,langlabucla:mb1203,hpp,noerror,0.0,2.9087572595395836,2.9455962040601937
kyotobabylab,IDS,3.0,Japanese,231.0,kyotobabylab:kbl013,eyetracking,noerror,0.0,2.258633205464863,3.044522437723423
babylabplymouth,IDS,3.0,english,280.0,babylabplymouth:mb0901,hpp,noerror,0.0,1.7715567619105355,2.258633205464863
babylabutrecht,IDS,7.0,Dutch,222.0,babylabutrecht:707,hpp,noerror,0.0,1.7515745980904753,2.2081899044575084
babylabutrecht,ADS,9.0,Dutch,265.0,babylabutrecht:803,hpp,noerror,0.0,2.3625388074495186,2.7448541500782992
trainorlab,IDS,1.0,English,219.0,trainorlab:s31,hpp,noerror,1.0,1.6638503372726625,2.3924806400968714
udssaarland,IDS,12.0,German,434.0,udssaarland:34,singlescreen,noerror,0.0,1.302780400379248,1.7397818969512198
chosunbaby,ADS,9.0,Korean,279.0,chosunbaby:h12y09,hpp,error,0.0,1.6906491678589237,1.6906491678589237
earlysocogfm,ADS,5.0,english,267.0,earlysocogfm:s43,eyetracking,noerror,0.0,0.6931471805599453,1.4586150226995167
trainorlab,IDS,5.0,English,225.0,trainorlab:s11,hpp,noerror,1.0,2.2400498971929395,2.5174464413557818
infantcoglablouisville,ADS,10.0,English,290.0,infantcoglablouisville:234590,singlescreen,noerror,0.0,1.6471189794017889,1.6471189794017889
babylabshimane,ADS,5.0,Japanese,270.0,babylabshimane:201,eyetracking,noerror,0.0,2.4655539212721855,2.8903717578961645
irlconcordia,TRAIN,-1.0,english,238.0,irlconcordia:mb6s13,eyetracking,noerror,0.0,0.7080357930536959,1.8158014637082929
purdueinfantspeech,TRAIN,-2.0,English,284.0,purdueinfantspeech:4263,hpp,noerror,0.0,2.7732135270086236,2.9512577834521614
infantlanglabutk,TRAIN,-2.0,English,265.0,infantlanglabutk:mb1r81fs1,hpp,noerror,0.0,8.537975730598767,8.868694776580972
infantlanglabutk,ADS,10.0,English,202.0,infantlanglabutk:mb1r62fs4,hpp,noerror,0.0,9.858803944909488,9.953277217038643
babylablmu,ADS,5.0,German,351.0,babylablmu:15,eyetracking,noerror,0.0,1.0043016091968684,9.537050831395442
ldlottawa,ADS,6.0,English,225.0,ldlottawa:mbms49,singlescreen,error,1.0,1.4122057429043917,1.4122057429043917
unlvmusiclab,IDS,11.0,English,131.0,unlvmusiclab:run023,singlescreen,noerror,0.0,2.861686462924926,2.9788912563579646
chosunbaby,IDS,15.0,Korean,272.0,chosunbaby:h62y43,hpp,noerror,0.0,1.68621375123615,1.68621375123615
purdueinfantspeech,IDS,3.0,English,279.0,purdueinfantspeech:4303,hpp,noerror,0.0,1.6770965609079151,2.217027204632399
weescienceedinburgh,IDS,1.0,English,250.0,weescienceedinburgh:mb25,singlescreen,noerror,0.0,2.4096441652874536,2.7466296830696852
babylabyork,TRAIN,-2.0,English,193.0,babylabyork:eoi840,singlescreen,noerror,0.0,2.8791984572980396,2.8791984572980396
musdevutm,ADS,11.0,English,252.0,musdevutm:mb18,hpp,noerror,1.0,2.55738233811005,2.6352644313765574
babylabplymouth,ADS,1.0,english,280.0,babylabplymouth:mb0901,hpp,noerror,0.0,1.3376291891386096,2.0135687975291283
chosunbaby,ADS,10.0,Korean,187.0,chosunbaby:h66y45,hpp,noerror,0.0,2.8058421472600843,2.8058421472600843
udssaarland,ADS,17.0,German,388.0,udssaarland:31,singlescreen,noerror,0.0,-11.512925464970229,0.6987235919863906
