lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,method,ra,age_days,trial_order,session_error,session_error_type,notes,second_session,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,caregiver_seat,macarthur_ladder,parenta_gender,parenta_education,parentb_gender,parentb_education,preterm,days_preterm,prev_earinfection,curr_earinfection,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,sib1_age,sib1_gender,sib2_age,sib2_gender,sib3_age,sib3_gender,sib4_age,sib4_gender,tod,season,race_ethnicity,gender,lang4,lang4_exposure,bilingual_nae,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,beard,ratype,childcare,visits,household_size,last_feed_min,last_sleep_min,termtime,popnum,popkm2,subid_unique
irlconcordia,mb12s06,ADS,ADS7,13.0,0.0,18.051,error,trial should have ended earlier,eyetracking,ALR,440.0,2.0,noerror,,,N,monolingual,english,98.0,french,2.0,,,caregiver,6.0,F,16.0,M,16.0,term,,N,N,N,,N,,18,M,13,F,,,,,1330.0,summer,african; european,F,,,98.0,regularly,regularly,preferred,,undergraduate,,,,,,not in session,,,irlconcordia:mb12s06
weltentdeckerzurich,mb14182,ADS,ADS4,7.0,9.56,11.56,noerror,,Eyetracking,Leonie,408.0,2.0,noerror,,"child did not want to sit in the seat, sat on parents lab. The distance eye-camera varied a lot.",N,Bilingual,Spanish (Spain),54.0,Swissgerman,41.0,Turkish,5.0,caregiver,,F,12,M,15,term,,N,N,N,,N,,4,F,,,,,,,1000,Winter,,F,,,0.0,,,preferred,no_beard,undergraduate,"goes to daycare since age of 7 months, 2 days per week, 8,5 h",,,,,not in session,214143.0,70.0,weltentdeckerzurich:mb14182
chosunbaby,h41y28,ADS,ADS6,11.0,3.839,3.839,error,infant too old,HPP,NAM,301.0,4.0,noerror,,over 9 months,N,monolingual,Korean,100.0,,,,,caregiver,,F,14,M,14,term,,yes,no,N,,N,,,,,,,,,,,Fall,Asian,M,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h41y28
purdueinfantspeech,4272,IDS,IDS4,11.0,7.04,10.11,noerror,,HPP,RAZ,316.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,18,M,22,full,21.0,1,No,N,,N,,2,F,6,F,,,,,,,Asian,F,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4272
bllumanitoba,4022,ADS,ADS1,5.0,7.367,12.598,noerror,,HPP,Kelsey,431.0,3.0,noerror,,"Good baby, but would sometimes play with his shoes while looking at the screen.",N,monolingual,English,100.0,,,,,caregiver,6.0,F,18.0,M,17,term,,Y,N,N,,N,,3.0,M,,,,,,,1130.0,Fall,Caucasian,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,"Once baby was twelve months, baby started going to daycare four days a week, and paternal grandparents the other day.",,3.0,,,in session,,,bllumanitoba:4022
bllumanitoba,4192,training,train2,-1.0,8.759,13.177,error,parent interference,HPP,Kelsey,402.0,3.0,noerror,,"Very wiggly baby, but codable. Kept trying to push off of mom's lap.",N,monolingual,Canadian English,92.0,Newfoundland English,8.0,,,caregiver,7.0,F,18.0,M,16,term,,Y,N,N,,N,,9.0,F,,,,,,,1330.0,Summer,Canadian,F,,,92.0,regularly,rarely,preferred,no_beard,undergraduate,Baby stays home with mom.,,3.0,,,not in session,72654.0,78.0,bllumanitoba:4192
babylabkingswood,mb8697,IDS,IDS7,10.0,4125.0,,No error,No error,HPP,LL,391.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,F,12.0,M,Not Answered,term,,No,No,No,No,No,No,,,,,,,,,,,Caucasian,M,,,,,,No,,,,,,,,,,,babylabkingswood:mb8697
babylabbrookes,mb75,training,train2,-1.0,6.52,,noerror,,Single Screen,N1,464.0,2.0,noerror,,0,N,Monolingual,English,100.0,,,,,caregiver,,F,16.0,M,16,term,,No,No,N,,N,,,,,,,,,,,,,F,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb75
lllliv,mb001,training,train1,-2.0,2.907,6.261,,,Eyetracking,Anna,451.0,1.0,noerror,,"Child had to have mother in view, some technical difficulties with eye tracker during calibration",N,monolingual,English,100.0,,,,,seat,,F,21,M,14,term,,No,No,N,,N,,,,,,,,,,1100,Summer,White british/ Irish,F,,,,,,,no_beard,undergraduate,,,,,,not in session,,,lllliv:mb001
babylabuclajohnson,10183,ADS,ADS6,13.0,0.84,2.84,noerror,,Eyetracking & Online Coding,SB,375.0,4.0,noerror,,,N,Monolingual,English,95.0,Farsi,5.0,,,Caregiver,,M,18.0,F,16,Term,,N,N,N,,N,,,,,,,,,,,,Caucasian,F,,,,,,,,,,,,,,,,,babylabuclajohnson:10183
