lab,trial_type,looking_time
madlabucsd,ADS,5.51
purdueinfantspeech,IDS,0.82
cdcceu,IDS,11.9
lppparisdescartes2,ADS,1940.0
socialcogumiami,ADS,0.14
callab,IDS,0.0
babylabkingswood,IDS,4661.0
bchdosu,IDS,16.19
infantcoglablouisville,training,12.712
lllliv,IDS,15.018
bchdosu,ADS,10.112
cfnuofn,ADS,16.51
babylabparisdescartes1,ADS,7.059
chosunbaby,,
babylabpotsdam,ADS,3.962
cdcceu,IDS,5.196
ileap,IDS,17.254
infantllmadison,ADS,2.263
ldlottawa,training,4.4716
labunam,IDS,2882.0
babylabbrookes,training,17.86
weescienceedinburgh,ADS,11.81
ldlottawa,IDS,1.385
cdcceu,ADS,16.29
labunam,ADS,3946.0
babylablmu,IDS,9.12
chosunbaby,IDS,14.711
ldlottawa,IDS,0.0
infantllmadison,IDS,14.222
bllumanitoba,IDS,8.983
wsigoettingen,ADS,2.8
bchdosu,IDS,2.8
babylabyork,ADS,7.6
babylabvuw,IDS,1.461
babylabutrecht,IDS,17.999424
babylabkingswood,ADS,1918.0
trainorlab,ADS,6.5311
cfnuofn,Training,0.0
babylabutrecht,ADS,14.381625
labunam,ADS,0.0
ldlottawa,IDS,3.5383
ethosrennes,ADS,0.0
chosunbaby,ADS,4.198
babylablangessex,IDS,
bchdosu,training,4.032
lllliv,IDS,8.16
babylabutrecht,ADS,6.940892
jmucdl,IDS,
bounbcl,ADS,3.16
langlabucla,ADS,11.92
bllumanitoba,IDS,2.527
escompicbsleipzig,IDS,11.3
lcdfsu,test-ADS,202.0
bchdosu,IDS,6.4
dcnlabtennessee,ADS,12.001
ldlottawa,IDS,6.2567
langlabucla,IDS,5.632
babylabplymouth,IDS,15.47
icclbc,ADS,21.665
callab,ADS,0.0828857421875
nusinfantlanguagecentre,IDS,15.54
ldlottawa,IDS,6.155
infantcogubc,IDS,8.6
kyotobabylab,IDS,11.05
babylabkonstanz,training,15.39
babylabshimane,training,12.75
babylablangessex,ADS,5.786
babylabnijmegen,IDS,3.47
wsigoettingen,ADS,18.0
icclbc,ADS,13.215
labunam,ADS,826.0
babylingoslo,ADS,5.03
ethosrennes,ADS,5.38
babylabyork,ADS,6.9
babylablangessex,IDS,1.322
babylabnijmegen,IDS,1.81
babylablmu,ADS,
weltentdeckerzurich,IDS,6.51
callab,IDS,2.9652099609375
dcnlabtennessee,IDS,10.504
cdcceu,IDS,1.206
babylabumassb,IDS,5.95
infantllmadison,IDS,15.278
purdueinfantspeech,IDS,
